,FOXG1,NFIA,NFIB,NEUROD6,BCL11A,DCX,OTX2,FABP7,BCAT1,GAD1,DLX6,WNT2B,RSPO2,RSPO3,WLS,COL3A1,LUM,DCN,SPARC,cluster
SRR2967100,0.0,0.010785532,0.010785532,0.0,0.0,0.042461246,0.0,0.0,2.0854905,0.0,0.0,0.032013763,0.0,0.010785532,0.0,0.0,0.0,0.0,1.5459335,C1
SRR2967101,0.9980118,0.025912432,0.0,0.0,0.0,2.3160317,1.4725037,1.311146,2.729585,0.0,0.0,0.0,0.0,0.0,0.051170334,0.0,0.0,0.0,1.2301264,C2
SRR2967102,0.15144351,1.1080475,0.0,0.0,0.13226983,0.06003115,0.69913435,0.96893084,2.516406,0.0,0.0,0.0,0.0044095223,0.0,0.0,0.0,0.0,0.0,1.6907742,C1
SRR2967103,0.3820963,0.010288077,0.0,0.0,0.0,1.9087312,1.53362,0.39958525,3.1192136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C2
SRR2967104,1.4389833,0.0,0.020102188,0.0,0.0,0.16440304,1.5654784,0.9091891,2.6149573,0.0,0.0,0.016113948,0.0,0.0,0.0,0.0,0.0,0.0,2.681347,C4
SRR2967105,0.0,0.0,0.017408233,0.0,0.0,2.615846,0.0,0.02314428,2.1460571,0.0,0.0,0.5457138,0.0,0.02314428,0.6456885,0.0,0.0,0.0,0.54909974,C4
SRR2967106,0.008762704,0.00439095,0.0,0.0,0.50421786,1.4285959,1.1168065,1.6550577,2.8748236,1.3335221,0.0,0.0,0.0,0.0,0.068041444,0.0,0.0,0.0,1.2860209,C1
SRR2967107,1.5612928,0.013647245,0.0,0.0,0.13477416,4.758348,0.07922215,0.0,0.04697211,0.6236202,0.20993145,0.020401653,0.0,0.013647245,0.05350586,0.0,0.0,0.0,0.027110748,C3
SRR2967108,0.0,0.011763707,0.0,0.0,0.0,0.011763707,0.76720315,0.023390636,2.0554037,0.0,0.0,0.011763707,0.0,0.0,0.01759407,0.03488393,0.0,0.36313316,1.0056046,C4
SRR2967109,0.0,2.4458299,1.07389,0.0,0.0,0.0,0.6242184,0.029285355,1.39039,0.2828471,0.0,0.0,0.0,0.9554499,0.9743221,0.0,0.0,0.0,2.683808,C5
SRR2967110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32911235,2.3404677,0.0,0.0,1.7645934,0.28124514,0.0,0.042392388,0.0,0.021420816,0.0,2.7640538,C5
SRR2967111,0.018421274,0.0,0.0,0.0,0.0,1.9869684,0.018421274,0.51241136,2.3733146,0.0,0.0,0.3161528,0.0,0.0,0.6716618,0.0,0.0,0.0,2.3938882,C2
SRR2967112,1.6392355,0.13221188,0.43859133,0.0,0.16428277,0.87799126,1.5438412,0.89940417,2.981141,0.0,0.0,0.022073029,0.0,0.0,0.0,0.0,0.0,0.0,1.1661232,C2
SRR2967113,0.0,0.0,0.0,0.0,0.0,3.4002562,1.1476808,0.037557628,1.2270422,0.0,0.0,1.7773398,0.0,0.0,0.6024955,0.0,0.0,0.0,1.3671033,C3
SRR2967114,0.9564598,0.0,0.0,0.0,0.0,3.430746,0.73457533,1.1348048,2.9989018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6280845,C2
SRR2967115,1.5568297,0.0,0.0,0.0,0.0,2.742427,0.0,1.6948843,3.382814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2878515,C2
SRR2967116,0.49689636,0.0,0.0,0.0,0.08146194,0.16880494,0.84572244,1.1474307,3.3411276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8426819,C1
SRR2967117,0.44576985,0.0,0.0,0.0,0.0,0.017005485,0.7428633,1.0689518,3.9204793,0.0,0.0,0.0,0.0,0.0,0.008538891,0.0,0.0,0.0,1.6399294,C2
SRR2967118,0.3298338,0.0,0.009721022,0.0,0.0,1.7788913,0.28677648,0.67654717,3.3944182,0.0,0.0,0.0,0.0,0.0,0.106463104,0.0,0.0,0.0,0.8983285,C2
SRR2967119,0.46205908,0.42060006,1.3666961,0.0,0.33726454,2.061109,0.014223706,0.20636803,2.1706908,0.0,0.0,0.0,0.0,0.0,0.5105027,0.0,0.0,0.0,0.900643,C2
SRR2967120,0.0,0.3842132,0.58949167,0.0,0.21290828,2.2019782,0.8700892,0.78223616,2.535781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3924651,C1
SRR2967121,0.0,0.0,0.015439994,0.0,0.0,0.14461802,0.0,0.015439994,1.7804388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55782604,C2
SRR2967122,0.15855359,0.0,0.0,0.0,0.28402737,2.2405722,0.0,0.60086733,2.328529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4865032,C1
SRR2967123,1.9770297,0.16525157,0.8661009,0.0,0.21799397,2.0923254,0.70024663,2.1818209,3.121245,0.0,0.0,0.0,0.0,0.0,0.007954495,0.0,0.0,0.007954495,1.6857343,C1
SRR2967124,1.4599816,0.0,0.0,0.0,0.0,1.9361706,1.2276437,0.6590828,2.821943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14950773,C2
SRR2967125,0.75783473,0.0,0.0,0.0,0.020402292,4.2109666,0.0,0.53714144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C2
SRR2967126,1.4120253,0.38278833,1.7619855,0.0,0.1611727,0.06352202,1.1047591,0.54736936,2.3667378,0.0,0.0,0.090508595,0.0,0.0,0.077106334,0.0,0.0,0.0,2.3227282,C1
SRR2967127,0.92772233,0.0,0.019915404,0.0,0.21622403,3.706896,1.4768949,0.9513057,2.361319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5329939,C2
SRR2967128,0.06330436,0.0,0.0,0.0,0.032153025,2.185055,0.49297076,0.09351453,1.2757443,0.0,0.0,0.8775696,0.0,0.0,0.12283875,0.0,0.0,0.0,1.3630568,C1
SRR2967129,1.2606533,0.34800705,0.661882,0.0,0.015022674,1.7921718,0.0075395466,1.1756165,2.6923451,0.0,0.0,0.4051255,0.0,0.0,0.0,0.0,0.6015342,0.0,1.5684402,C1
