cell,tSNE1,tSNE2,cluster,experiment,tissue,stage
SRR2967100,2.558051,46.971863,C1,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967101,19.877714,6.3253717,C2,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967102,11.520076,57.799244,C1,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967103,13.875377,-26.10005,C2,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967104,-0.96955943,17.03333,C4,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967105,3.076444,-2.1688707,C4,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967106,3.0056012,36.30936,C1,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967107,4.08903,-51.6412,C3,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967108,0.6335333,1.6367676,C4,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967109,50.494873,-15.912334,C5,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967110,21.180252,-23.185125,C5,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967111,21.62307,7.8818946,C2,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967112,26.974522,9.417745,C2,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967113,0.8807177,-43.337738,C3,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967114,12.97463,-25.025576,C2,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967115,5.79841,-16.088295,C2,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967116,-7.979056,46.094723,C1,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967117,15.953689,13.608846,C2,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967118,11.567801,14.138532,C2,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967119,17.18956,8.508808,C2,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967120,-11.949775,38.020855,C1,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967121,17.678211,-17.885164,C2,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967122,-6.4217587,55.304966,C1,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967123,-12.900909,52.726776,C1,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967124,14.148862,14.360663,C2,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967125,10.3763275,-27.513735,C2,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967126,-11.337982,37.66321,C1,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967127,4.971634,12.523357,C2,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967128,0.9620459,43.742256,C1,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967129,-6.0048814,37.910114,C1,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967130,21.15966,10.407594,C2,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967131,-4.9054303,37.22336,C1,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967132,11.738075,-19.04928,C2,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967133,19.544815,17.302261,C2,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967134,13.900382,17.967274,C1,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967135,16.926933,-20.532797,C2,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967136,-2.284557,30.093372,C1,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967137,-7.6306376,48.567326,C1,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967138,12.143447,9.473693,C2,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967139,3.3745117,0.55405205,C4,Whole 33 days,Dissociated whole cerebral organoid,33 days
SRR2967140,26.287603,4.299479,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967141,-14.298649,36.453636,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967142,2.1901996,-41.76894,C5,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967143,16.180172,-52.183914,C3,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967144,12.1294,47.023075,C1,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967145,7.4957657,-19.996769,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967146,21.650187,-25.763441,C6,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967147,-11.542483,39.873043,C1,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967148,10.7243395,-25.66477,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967149,27.303082,5.5970674,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967150,13.540387,11.315868,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967151,31.776196,7.6290026,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967152,18.35391,-25.11068,C5,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967153,-7.3926587,52.363556,C1,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967154,15.990328,-14.049718,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967155,10.215481,17.650578,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967156,-4.9513793,56.175987,C1,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967157,9.585768,16.511604,C1,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967158,-1.6463621,55.473667,C1,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967159,2.5857239,-47.95251,C3,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967160,12.306087,12.929929,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967161,-7.9488473,56.170116,C1,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967162,19.589565,-23.885239,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967163,29.632868,-23.997316,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967164,7.946601,16.915897,C1,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967165,2.0591226,50.03354,C1,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967166,13.189622,0.631087,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967167,25.282764,-15.046828,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967168,1.4915512,50.90771,C1,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967169,-2.790259,54.545795,C1,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967170,10.063267,12.329135,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967171,-5.3512435,53.40761,C1,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967172,-3.2069962,51.814175,C1,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967173,-8.121495,45.278065,C1,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967174,13.926397,-0.2087577,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967175,10.067416,46.582798,C1,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967176,19.23998,6.60431,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967177,17.211233,15.896397,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967178,1.4444703,10.380355,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967179,17.708239,13.28067,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967180,-7.8422976,43.72796,C1,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967181,23.636604,6.5060453,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967182,23.224775,-11.982001,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967183,8.582132,-13.3238945,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967184,13.881904,-2.9526744,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967185,15.910305,14.475991,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967186,10.479676,47.184223,C1,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967187,-7.6940193,42.686417,C1,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967188,-6.8588758,-8.033118,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967189,6.943902,-15.320242,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967190,23.025282,-11.202696,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967191,-1.3901379,52.741005,C1,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967192,10.049723,-25.050344,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967193,-56.2688,11.437618,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967194,3.461802,-50.57083,C3,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967195,3.1773646,11.758789,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967196,-5.178925,-8.183285,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967197,-3.923339,49.607746,C1,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967198,8.83047,46.140533,C1,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967199,16.667427,4.9198284,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967200,13.89721,-1.75736,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967201,23.731691,-13.684076,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967202,7.5228295,-18.69045,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967203,2.1526175,10.976068,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967204,-4.562424,53.90944,C1,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967205,-4.5626316,59.286663,C1,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967206,8.192878,-15.068743,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967207,9.450769,-15.709833,C2,Whole 35 days,Dissociated whole cerebral organoid,35 days
SRR2967208,-2.612569,-0.37504435,C4,Whole 37 days,Dissociated whole cerebral organoid,37 days
SRR2967209,-1.3295552,17.525787,C1,Whole 37 days,Dissociated whole cerebral organoid,37 days
SRR2967210,2.2700875,27.257915,C4,Whole 37 days,Dissociated whole cerebral organoid,37 days
SRR2967211,1.9128858,45.044926,C1,Whole 37 days,Dissociated whole cerebral organoid,37 days
SRR2967212,50.619137,-17.235031,C5,Whole 37 days,Dissociated whole cerebral organoid,37 days
SRR2967213,-14.206793,26.665724,C1,Whole 37 days,Dissociated whole cerebral organoid,37 days
SRR2967214,-18.098051,19.639132,C4,Whole 37 days,Dissociated whole cerebral organoid,37 days
SRR2967215,0.5895668,-44.87771,C3,Whole 37 days,Dissociated whole cerebral organoid,37 days
SRR2967216,-1.7856228,50.11793,C1,Whole 37 days,Dissociated whole cerebral organoid,37 days
SRR2967217,-1.3404428,42.639385,C1,Whole 37 days,Dissociated whole cerebral organoid,37 days
SRR2967218,38.65021,50.36281,C7,Whole 37 days,Dissociated whole cerebral organoid,37 days
SRR2967219,-0.5063344,-3.0597627,C5,Whole 37 days,Dissociated whole cerebral organoid,37 days
SRR2967220,1.2328774,-0.068210244,C4,Whole 37 days,Dissociated whole cerebral organoid,37 days
SRR2967221,-16.917645,14.445958,C4,Whole 37 days,Dissociated whole cerebral organoid,37 days
SRR2967222,53.636353,-16.746714,C5,Whole 37 days,Dissociated whole cerebral organoid,37 days
SRR2967223,-1.4539326,38.10214,C1,Whole 37 days,Dissociated whole cerebral organoid,37 days
SRR2967224,16.403828,-21.03551,C2,Whole 37 days,Dissociated whole cerebral organoid,37 days
SRR2967225,5.3488865,30.377634,C4,Whole 37 days,Dissociated whole cerebral organoid,37 days
SRR2967226,-13.767415,27.454115,C1,Whole 37 days,Dissociated whole cerebral organoid,37 days
SRR2967227,-1.6242757,-45.31614,C3,Whole 37 days,Dissociated whole cerebral organoid,37 days
SRR2967228,3.6431444,-5.416131,C4,Whole 37 days,Dissociated whole cerebral organoid,37 days
SRR2967229,2.1335373,22.584562,C4,Whole 37 days,Dissociated whole cerebral organoid,37 days
SRR2967230,3.4972262,21.304728,C2,Whole 37 days,Dissociated whole cerebral organoid,37 days
SRR2967231,1.7292902,-1.8104396,C4,Whole 37 days,Dissociated whole cerebral organoid,37 days
SRR2967232,14.832229,9.964944,C2,Whole 37 days,Dissociated whole cerebral organoid,37 days
