,FOXG1,NEUROD6,OTX2,group
SRR2967433,1.8440523,0.22861525,0.0,r1
SRR2967434,2.2751038,0.007247779,0.0,r1
SRR2967435,0.6866752,3.392179,0.0,r1
SRR2967436,0.18683404,0.0,0.0,r1
SRR2967437,0.82698846,0.0,0.0,r1
SRR2967438,0.0069623953,0.060982395,0.0,r1
SRR2967439,0.5184666,0.03918962,0.0,r1
SRR2967440,2.1780975,0.0,0.0,r1
SRR2967441,0.06760905,2.9035747,0.0,r1
SRR2967442,1.0980867,0.17907211,0.0,r1
SRR2967443,1.5411973,3.1847022,0.0,r1
SRR2967444,1.9474881,0.0,0.0,r1
SRR2967445,0.0,0.027046567,0.0,r1
SRR2967446,0.23843911,0.8762057,0.0,r1
SRR2967447,1.3449973,0.060029242,0.0,r1
SRR2967448,0.0,0.020262292,1.5743694,r1
SRR2967449,2.4240055,0.04289547,0.0,r1
SRR2967450,2.0745099,0.009489956,0.0,r1
SRR2967451,1.705806,4.0563097,0.0,r1
SRR2967452,1.974614,0.0,0.0,r1
SRR2967453,1.3628883,3.1217225,0.0,r1
SRR2967454,1.798243,0.010965972,0.0,r1
SRR2967455,1.556599,3.513424,0.0,r1
SRR2967456,0.0,0.0,0.0,r1
SRR2967457,2.8698766,0.0,0.0,r1
SRR2967458,1.6180212,2.3180158,0.0,r1
SRR2967459,0.42692974,0.016008897,0.0,r1
SRR2967460,0.03504299,0.0,0.0,r1
SRR2967461,1.7673895,0.00806001,0.0,r1
SRR2967462,2.0986233,1.2510635,0.0,r1
SRR2967463,0.03659212,0.1771442,0.0,r1
SRR2967464,2.6859426,0.91222334,0.0,r1
SRR2967465,0.8554318,0.26090738,0.0,r1
SRR2967466,2.1281447,0.0,0.0,r1
SRR2967467,1.1317724,0.0,0.0,r1
SRR2967468,0.0,1.7013253,0.0,r1
SRR2967469,0.41146657,0.024826506,0.0,r1
SRR2967470,2.3266952,0.08909617,0.0,r1
SRR2967471,1.2529883,2.5987425,0.0,r1
SRR2967472,1.3549774,2.7187665,0.0,r1
SRR2967473,1.1329206,0.025968762,0.0,r1
SRR2967474,1.0441008,3.0558794,0.0,r1
SRR2967475,0.912936,0.24059251,0.0,r1
SRR2967476,2.6081123,0.04825973,0.0,r1
SRR2967477,2.0216916,2.2523496,0.0,r1
SRR2967478,1.7427248,0.79906255,0.0,r1
SRR2967479,0.79477954,0.0,0.0,r1
SRR2967480,0.59753335,3.0723777,0.0,r1
SRR2967481,1.0995386,0.01697292,0.0,r2
SRR2967482,2.0201905,0.0,0.0,r2
SRR2967483,2.224104,0.0,0.0,r2
SRR2967484,1.8625087,3.2976904,0.0,r2
SRR2967485,2.98582,0.0,0.0,r2
SRR2967486,1.6632997,2.280647,0.0,r2
SRR2967487,1.3774571,0.0,0.0,r2
SRR2967488,1.2727792,0.0,0.0,r2
SRR2967489,1.0688993,0.0,0.0,r2
SRR2967490,0.18812305,0.1443051,0.0,r2
SRR2967491,2.074009,0.012824018,0.0,r2
SRR2967492,2.6623933,0.0,0.0,r2
SRR2967493,1.2107915,1.107806,0.0,r2
SRR2967494,0.9115292,0.0,0.0,r2
SRR2967495,0.0,0.0,0.0,r2
SRR2967496,0.98346484,0.0,0.0,r2
SRR2967497,1.2172259,0.006205326,0.0,r2
SRR2967498,1.5071846,0.020166324,0.0,r2
SRR2967499,1.0305879,0.0,0.0,r2
SRR2967500,1.2365295,0.010996518,0.0,r2
SRR2967501,0.12496893,0.10119339,0.0,r2
SRR2967502,0.0,0.9774573,0.0,r2
SRR2967503,1.4358144,0.0,0.0,r2
SRR2967504,0.2603506,0.016850648,0.0,r2
SRR2967505,1.0036279,2.5661747,0.0,r2
SRR2967506,2.0412984,0.08275334,0.0,r2
SRR2967507,2.6090403,0.340353,0.0,r2
SRR2967508,0.16227683,3.3571596,0.0,r2
SRR2967509,1.5894003,0.0,0.0,r2
SRR2967510,0.0,0.0,0.0,r2
SRR2967511,1.3289524,1.1948154,0.0,r2
SRR2967512,0.6646653,0.0,0.0,r2
SRR2967513,1.5460409,0.014900041,0.0,r2
SRR2967514,2.1234362,0.0,0.0,r2
SRR2967515,2.203388,3.1375365,0.0,r2
SRR2967516,1.5668572,0.31999296,0.0,r2
SRR2967517,2.9446287,0.0,0.0,r2
SRR2967518,0.18837887,0.13186806,0.0,r2
SRR2967519,1.5098636,0.05619614,0.0,r2
SRR2967520,0.8761033,2.1354735,0.0,r2
SRR2967521,2.5515347,0.0,0.0,r2
SRR2967522,1.713897,0.014785568,0.0,r2
SRR2967523,2.2100737,3.1970437,0.0,r2
SRR2967524,1.3581372,0.029150577,0.0,r2
SRR2967525,0.5673175,2.9025218,0.0,r2
SRR2967526,0.52180725,0.0,0.0,r2
SRR2967527,0.93376476,0.75841546,0.0,r2
SRR2967528,1.42576,2.783694,0.0,r2
SRR2967529,2.2324736,0.0,0.0,r3
SRR2967530,1.3198688,0.11932501,0.0,r3
SRR2967531,0.48592448,1.853114,0.0,r3
SRR2967532,0.6017375,0.0,0.0,r3
SRR2967533,0.22634292,0.0,0.0,r3
SRR2967534,0.35483688,0.018350082,0.0,r3
SRR2967535,1.6019808,0.0,0.0,r3
SRR2967536,2.194638,0.0,0.0,r3
SRR2967537,1.2535487,0.25686854,0.1171162,r3
SRR2967538,1.8393378,0.0,0.0,r3
SRR2967539,0.0,2.6582587,0.0,r3
SRR2967540,0.43971035,0.0,0.0,r3
SRR2967541,1.2825377,0.0,0.0,r3
SRR2967542,1.331992,1.281513,0.0,r3
