cluster,gene,auc,power
C1,MYT1L,0.33,0.34
C1,STMN2,0.341,0.319
C1,HMP19,0.367,0.266
C1,SCN2A,0.392,0.215
C1,GRIA2,0.378,0.243
C1,GAP43,0.329,0.341
C1,RUNX1T1,0.387,0.227
C1,NRXN1,0.412,0.176
C1,RTN1,0.388,0.224
C1,NEUROD6,0.357,0.286
C1,SCN3B,0.404,0.192
C1,RAB3A,0.45,0.1
C1,GABBR2,0.445,0.11
C1,SNAP25,0.351,0.299
C1,KIF5A,0.367,0.265
C1,BCL11B,0.324,0.353
C1,ATAT1,0.521,0.041
C1,RALYL,0.437,0.126
C1,MKI67,0.863,0.727
C1,ECT2,0.889,0.778
C1,FANCD2,0.725,0.451
C1,RRM2,0.777,0.555
C1,SMC2,0.763,0.527
C1,CKS2,0.897,0.795
C1,SMC4,0.827,0.654
C1,BARD1,0.726,0.452
C1,TPX2,0.914,0.828
C1,RAD51AP1,0.737,0.474
C1,GMNN,0.766,0.532
C1,CENPN,0.775,0.55
C1,AURKB,0.874,0.748
C1,DLGAP5,0.917,0.834
C1,UBE2C,0.943,0.886
C1,TOP2A,0.941,0.882
C1,GNG5,0.807,0.614
C1,NDC80,0.887,0.773
C1,ASPM,0.884,0.769
C1,CENPK,0.708,0.416
C1,TRIM59,0.919,0.837
C1,MIS18BP1,0.898,0.796
C1,CDK1,0.892,0.784
C1,MAD2L1,0.889,0.778
C1,HMGN2,0.797,0.593
C1,CENPF,0.923,0.847
C1,BIRC5,0.903,0.807
C1,CENPU,0.754,0.508
C1,ANP32E,0.833,0.665
C1,NUSAP1,0.892,0.783
C1,CKS1B,0.873,0.745
C1,HMGB2,0.909,0.817
C1,TUBA1A,0.489,0.021
C1,CKB,0.612,0.223
C1,SOX11,0.643,0.287
C1,TUBB2B,0.617,0.234
C1,PTBP2,0.646,0.293
C1,DPYSL2,0.562,0.124
C1,MAP1B,0.297,0.405
C1,DCX,0.378,0.243
C1,P4HA2,0.504,0.008
C1,MMP2,0.539,0.077
C1,TIMP1,0.517,0.034
C1,KDELR3,0.429,0.142
C1,MGP,0.491,0.018
C1,FXYD5,0.488,0.024
C1,SDC4,0.573,0.146
C1,IFITM2,0.56,0.121
C1,PDGFRB,0.466,0.069
C1,PPIC,0.48,0.04
C1,IFITM3,0.587,0.175
C1,TGFBI,0.466,0.069
C1,TPM2,0.489,0.021
C1,FTL,0.383,0.234
C1,KRT8,0.52,0.04
C1,BNC2,0.485,0.03
C1,GXYLT2,0.453,0.093
C1,OLFML3,0.455,0.091
C1,MME,0.445,0.109
C1,RBMS3,0.469,0.062
C1,ANXA2,0.516,0.033
C1,LGALS1,0.529,0.058
C1,SERPINB9,0.49,0.02
C1,COL5A2,0.543,0.086
C1,COL21A1,0.463,0.073
C1,SNAI2,0.442,0.116
C1,S100A10,0.438,0.125
C1,HAS2,0.426,0.148
C1,PITX2,0.447,0.106
C1,CRISPLD2,0.421,0.158
C1,IFITM1,0.459,0.082
C1,DDR2,0.407,0.186
C1,POSTN,0.411,0.178
C1,COL5A1,0.454,0.093
C1,MFAP4,0.405,0.189
C1,COL6A3,0.417,0.165
C1,LUM,0.446,0.109
C1,COL1A2,0.402,0.195
C1,DCN,0.393,0.214
C1,COL1A1,0.414,0.172
C1,COL3A1,0.387,0.226
C1,S100A11,0.445,0.111
C1,MTRNR2L12,0.586,0.172
C1,NNAT,0.677,0.354
C1,PRTG,0.789,0.579
C1,BCAT1,0.737,0.475
C1,CXADR,0.56,0.12
C1,EZR,0.518,0.037
C1,NDUFA6,0.557,0.114
C1,MEGF10,0.48,0.04
C1,STK17B,0.708,0.415
C1,SYNE2,0.51,0.019
C1,CLIC1,0.636,0.272
C1,APOLD1,0.722,0.445
C1,POU3F3,0.578,0.156
C1,ID4,0.481,0.037
C1,CA12,0.398,0.204
C1,FHL2,0.439,0.122
C1,FABP7,0.491,0.017
C1,H2AFX,0.777,0.555
C1,MASP1,0.359,0.282
C1,KIAA1217,0.491,0.017
C1,NTRK3,0.399,0.202
C1,MEIS2,0.512,0.025
C1,CSNK2B,0.504,0.007
C1,SLC1A3,0.469,0.063
C1,SEMA5A,0.411,0.178
C1,NBPF14,0.597,0.194
C1,IL33,0.436,0.127
C1,DMRTA2,0.42,0.16
C1,NBPF10,0.578,0.155
C1,NDUFA3,0.467,0.065
C1,BCL11A,0.297,0.406
C1,DDX39B,0.594,0.187
C1,FOXG1,0.491,0.017
C1,SOX9,0.509,0.017
C1,LHX2,0.437,0.127
C1,TCF4,0.453,0.093
C1,DOK5,0.381,0.238
C1,MPPED2,0.526,0.053
C1,GLI3,0.535,0.069
C1,SFRP1,0.51,0.019
C1,HEY1,0.437,0.126
C1,HES1,0.42,0.161
C1,TFAP2C,0.418,0.165
C1,TUBB,0.612,0.224
C1,CREB5,0.431,0.138
C1,C1orf61,0.27,0.46
C1,IFI44L,0.303,0.395
C1,NFIA,0.263,0.474
C1,PHLDA1,0.289,0.423
C1,NFIB,0.243,0.513
C1,TMSB10,0.334,0.332
C1,CALM2,0.783,0.567
C1,CFL1,0.59,0.18
C1,TUBA1C,0.765,0.53
C1,STMN1,0.678,0.355
C1,ARL6IP1,0.886,0.773
C1,EIF5A,0.615,0.23
C1,KNSTRN,0.878,0.756
C1,YWHAZ,0.44,0.121
C1,ACTG1,0.437,0.126
C1,THY1,0.563,0.125
C1,PSRC1,0.923,0.846
C1,PLK1,0.931,0.862
C1,TUBB4B,0.837,0.674
C1,TUBB2A,0.491,0.019
C1,AURKA,0.902,0.803
C1,FTH1,0.511,0.022
C1,CCNA2,0.93,0.86
C1,CDC20,0.944,0.888
C1,PTMS,0.685,0.371
C1,HN1,0.651,0.301
C1,DYNLL1,0.523,0.045
C1,YWHAB,0.487,0.025
C1,TROAP,0.917,0.833
C1,CCNB1,0.94,0.88
C1,MLLT11,0.466,0.069
C1,OLFM3,0.487,0.025
C1,ATP1A2,0.53,0.059
C1,CDO1,0.619,0.239
C1,RSPO3,0.413,0.175
C1,PAX6,0.462,0.075
C1,SDK2,0.603,0.206
C1,ITGA6,0.634,0.268
C1,GPR98,0.602,0.203
C1,RFX4,0.594,0.188
C1,EDNRB,0.648,0.297
C1,NTRK2,0.582,0.164
C1,RSPO2,0.503,0.006
C1,TMEM47,0.564,0.127
C1,CLU,0.489,0.022
C1,ADCY2,0.46,0.08
C1,GAS2L3,0.914,0.827
C1,NEK2,0.9,0.8
C1,KIF20A,0.932,0.865
C1,PIF1,0.841,0.683
C1,NDE1,0.846,0.691
C1,CEP55,0.82,0.64
C1,FAM72B,0.704,0.409
C1,KIF14,0.903,0.805
C1,GTSE1,0.877,0.754
C1,SGOL2,0.895,0.789
C1,CCNF,0.89,0.78
C1,FAM72A,0.621,0.243
C1,CCNB2,0.933,0.866
C1,CDCA8,0.925,0.851
C1,CDCA3,0.873,0.746
C1,BORA,0.828,0.657
C1,KIF4B,0.88,0.76
C1,CXXC4,0.738,0.477
C1,CDCA2,0.901,0.801
C1,BUB1,0.902,0.803
C1,ARHGAP11B,0.828,0.656
C1,CDC25B,0.767,0.535
C1,KIF2C,0.899,0.799
C1,GPSM2,0.835,0.669
C1,NUF2,0.903,0.805
C1,HMMR,0.895,0.79
C1,CENPE,0.907,0.815
C1,CDC25C,0.881,0.761
C1,EFNB2,0.479,0.043
C1,CNTNAP2,0.404,0.193
C1,DTL,0.607,0.214
C1,WDR76,0.437,0.126
C1,NME1,0.575,0.15
C1,FABP5,0.525,0.05
C1,MCM3,0.621,0.241
C1,PPIA,0.57,0.14
C1,NGFRAP1,0.487,0.025
C1,ANLN,0.829,0.659
C1,KIF23,0.867,0.735
C1,PBK,0.861,0.722
C1,RAD21,0.799,0.597
C1,NUBP2,0.572,0.143
C1,FLYWCH2,0.578,0.156
C1,RCN3,0.497,0.007
C1,C19orf60,0.58,0.159
C1,TTYH3,0.516,0.032
C1,AP2S1,0.551,0.102
C1,MRPL12,0.571,0.141
C1,DRAP1,0.555,0.11
C1,C9orf142,0.539,0.079
C1,GPAA1,0.573,0.146
C1,LAMA4,0.476,0.048
C1,IER2,0.488,0.025
C1,ALKBH7,0.692,0.385
C1,BAD,0.572,0.145
C1,C20orf27,0.665,0.331
C1,CTSD,0.543,0.086
C1,H2AFY2,0.676,0.353
C1,MCM2,0.589,0.179
C1,TUBB3,0.575,0.151
C1,MRPL41,0.618,0.235
C1,UNG,0.486,0.029
C1,EIF3F,0.635,0.269
C1,FLNA,0.626,0.253
C1,PDLIM7,0.685,0.371
C1,PCBP4,0.627,0.254
C1,MRPS26,0.547,0.094
C1,JUNB,0.465,0.07
C1,DBN1,0.637,0.273
C1,SNRPB,0.72,0.441
C1,MZT2B,0.626,0.251
C1,FAM195B,0.575,0.15
C1,C7orf50,0.634,0.268
C1,CYB5R3,0.585,0.169
C1,CCND1,0.716,0.432
C1,C9orf16,0.592,0.184
C1,PFN1,0.561,0.122
C1,LIMD2,0.603,0.207
C1,COPE,0.582,0.164
C1,SCAND1,0.574,0.147
